COURSE,Alternative_ID,Weight,Category,Gradable_object,Max_Points,Earned_Points
MNG_333N_222_08F,STUDENT24,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT11,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT9,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT19,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT15,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT14,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT7,0.05,Homework,Assign 4 Ex 10 E,5,0
MNG_333N_222_08F,STUDENT26,0.05,Homework,Assign 4 Ex 10 E,5,4.85
MNG_333N_222_08F,STUDENT5,0.05,Homework,Assign 4 Ex 10 E,5,4.8
MNG_333N_222_08F,STUDENT3,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT12,0.05,Homework,Assign 4 Ex 10 E,5,4
MNG_333N_222_08F,STUDENT29,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT6,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT22,0.05,Homework,Assign 4 Ex 10 E,5,4
MNG_333N_222_08F,STUDENT1,0.05,Homework,Assign 4 Ex 10 E,5,4
MNG_333N_222_08F,STUDENT16,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT18,0.05,Homework,Assign 4 Ex 10 E,5,4.8
MNG_333N_222_08F,STUDENT21,0.05,Homework,Assign 4 Ex 10 E,5,4.2
MNG_333N_222_08F,STUDENT10,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT20,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT23,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT2,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT27,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT13,0.05,Homework,Assign 1,5,4
MNG_333N_222_08F,STUDENT24,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT11,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT9,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT19,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT15,0.05,Homework,Assign 1,5,4
MNG_333N_222_08F,STUDENT14,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT7,0.05,Homework,Assign 1,5,4
MNG_333N_222_08F,STUDENT26,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT5,0.05,Homework,Assign 1,5,4
MNG_333N_222_08F,STUDENT3,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT12,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT29,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT6,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT22,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT1,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT16,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT18,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT21,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT10,0.05,Homework,Assign 1,5,4
MNG_333N_222_08F,STUDENT20,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT25,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT23,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT2,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT8,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT17,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT28,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT4,0.05,Homework,Assign 1,5,5
MNG_333N_222_08F,STUDENT27,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT13,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT24,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT11,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT9,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT19,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT15,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT14,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT7,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT26,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT5,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT3,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT12,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT29,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT6,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT22,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT1,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT16,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT18,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT21,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT10,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT20,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT23,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT2,0.05,Homework,Assign 2 Elements of Rept,5,4
MNG_333N_222_08F,STUDENT8,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT17,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT28,0.05,Homework,Assign 2 Elements of Rept,5,0
MNG_333N_222_08F,STUDENT4,0.05,Homework,Assign 2 Elements of Rept,5,4.5
MNG_333N_222_08F,STUDENT27,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT13,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT24,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT11,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT9,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT19,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT15,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT14,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT7,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT26,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT5,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT3,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT12,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT29,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT6,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT22,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT1,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT16,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT18,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT21,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT10,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT20,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT23,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT2,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT8,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT17,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT28,0.05,Homework,Assign 3 Team Contract,5,5
MNG_333N_222_08F,STUDENT4,0.05,Homework,Assign 3 Team Contract,5,4
MNG_333N_222_08F,STUDENT27,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT13,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT24,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT11,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT9,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT19,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT15,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT14,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT7,0.05,Homework,Assign 4 Ex 10 E,5,0
MNG_333N_222_08F,STUDENT26,0.05,Homework,Assign 4 Ex 10 E,5,4.85
MNG_333N_222_08F,STUDENT5,0.05,Homework,Assign 4 Ex 10 E,5,4.8
MNG_333N_222_08F,STUDENT3,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT12,0.05,Homework,Assign 4 Ex 10 E,5,4
MNG_333N_222_08F,STUDENT29,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT6,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT22,0.05,Homework,Assign 4 Ex 10 E,5,4
MNG_333N_222_08F,STUDENT1,0.05,Homework,Assign 4 Ex 10 E,5,4
MNG_333N_222_08F,STUDENT16,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT18,0.05,Homework,Assign 4 Ex 10 E,5,4.8
MNG_333N_222_08F,STUDENT21,0.05,Homework,Assign 4 Ex 10 E,5,4.2
MNG_333N_222_08F,STUDENT10,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT20,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT23,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT2,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT8,0.05,Homework,Assign 4 Ex 10 E,5,5
MNG_333N_222_08F,STUDENT17,0.05,Homework,Assign 4 Ex 10 E,5,4.9
MNG_333N_222_08F,STUDENT28,0.05,Homework,Assign 4 Ex 10 E,5,0
MNG_333N_222_08F,STUDENT4,0.05,Homework,Assign 4 Ex 10 E,5,4.85
MNG_333N_222_08F,STUDENT13,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT24,0.05,Homework,Assign 5 Slumdog,5,0
MNG_333N_222_08F,STUDENT11,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT9,0.05,Homework,Assign 5 Slumdog,5,4.8
MNG_333N_222_08F,STUDENT19,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT15,0.05,Homework,Assign 5 Slumdog,5,4.8
MNG_333N_222_08F,STUDENT14,0.05,Homework,Assign 5 Slumdog,5,3.5
MNG_333N_222_08F,STUDENT7,0.05,Homework,Assign 5 Slumdog,5,3.5
MNG_333N_222_08F,STUDENT3,0.05,Homework,Assign 5 Slumdog,5,3.5
MNG_333N_222_08F,STUDENT12,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT6,0.05,Homework,Assign 5 Slumdog,5,4.8
MNG_333N_222_08F,STUDENT22,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT1,0.05,Homework,Assign 5 Slumdog,5,4.8
MNG_333N_222_08F,STUDENT16,0.05,Homework,Assign 5 Slumdog,5,3.5
MNG_333N_222_08F,STUDENT18,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT21,0.05,Homework,Assign 5 Slumdog,5,4.8
MNG_333N_222_08F,STUDENT10,0.05,Homework,Assign 5 Slumdog,5,3.5
MNG_333N_222_08F,STUDENT23,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT8,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT17,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT28,0.05,Homework,Assign 5 Slumdog,5,0
MNG_333N_222_08F,STUDENT4,0.05,Homework,Assign 5 Slumdog,5,5
MNG_333N_222_08F,STUDENT27,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT13,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4
MNG_333N_222_08F,STUDENT24,0.05,Business Plan Presentation,Business Plan Present 1 ,5,0
MNG_333N_222_08F,STUDENT11,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT9,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT19,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT15,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT14,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT7,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT26,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT5,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT3,0.05,Business Plan Presentation,Business Plan Present 1 ,5,5
MNG_333N_222_08F,STUDENT12,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT29,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT6,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT22,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT1,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT16,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT18,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT21,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT10,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT20,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT23,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
MNG_333N_222_08F,STUDENT2,0.05,Business Plan Presentation,Business Plan Present 1 ,5,4.5
